Date,Open,High,Low,Close,Adj Close,Volume
3/17/2020,0,0,0,0,0,0
3/18/2020,20188.68945,20489.33008,18917.46094,19898.91992,19898.91992,871360000
3/19/2020,19830.00977,20442.63086,19177.13086,20087.18945,20087.18945,780300000
3/20/2020,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,872290000
3/20/2020,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,872290000
3/20/2020,20253.15039,20531.25977,19094.26953,19173.98047,19173.98047,872290000
3/23/2020,19028.35938,19121.00977,18213.65039,18591.92969,18591.92969,787970000
3/24/2020,19722.18945,20737.69922,19649.25,20704.91016,20704.91016,799340000
3/25/2020,21050.33984,22019.92969,20538.33984,21200.55078,21200.55078,796320000
3/26/2020,21468.38086,22595.06055,21427.09961,22552.16992,22552.16992,705180000
3/27/2020,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,588830000
3/27/2020,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,588830000
3/27/2020,21898.4707,22327.57031,21469.26953,21636.7793,21636.7793,588830000
3/30/2020,21678.2207,22378.08984,21522.08008,22327.48047,22327.48047,545540000
3/31/2020,22208.41992,22480.36914,21852.08008,21917.16016,21917.16016,571210000
